EAR,MAR,Circularity,MOE,Y,respondent,EAR_N,MAR_N,Circularity_N,MOE_N
0.27462676,0.74521613,0.36679512,2.7135599,0,4,-0.027153526,0.207517578,-1.115561337,0.039684894
0.25089827,0.77466434,0.40213963,3.0875633,0,4,-0.986146096,0.87995984,0.299631093,0.979566489
0.30037087,0.6885045,0.41503426,2.2921813,0,4,1.013300826,-1.087477418,0.815931438,-1.019251982
0.29356515,0.70484716,0.4489237,2.4009905,0,4,0.738246114,-0.714297475,2.172862996,-0.745811172
0.26740822,0.7665332,0.4210985,2.8665283,0,4,-0.318892528,0.694287221,1.058743145,0.424099009
0.27546546,0.7692328,0.4476256,2.7924838,0,4,0.006742612,0.755932197,2.120887147,0.238023083
0.29933554,0.76455605,0.4689934,2.5541773,0,4,0.971457609,0.649139613,2.976452303,-0.360848233
0.2756982,0.81579757,0.46752414,2.959024,0,4,0.016149506,1.819226361,2.917623427,0.656543379
0.27462676,0.81600577,0.4030637,2.9713266,0,4,-0.027153526,1.823980532,0.336631233,0.687460269
0.31206918,0.77780604,0.45223483,2.4924154,0,4,1.486090633,0.951699773,2.305440369,-0.516057598
0.274051,0.833626,0.40965688,3.0418644,0,4,-0.050422642,2.226333361,0.600621335,0.864723854
0.25,0.8246894,0.3588233,3.2987576,0,4,-1.022449965,2.022268784,-1.434752732,1.510303933
0.25118446,0.75357527,0.40748096,3.000087,0,4,-0.97457959,0.398396238,0.513497322,0.759736085
0.3164909,0.814271,0.46599358,2.5728102,0,4,1.664795135,1.784366979,2.856339968,-0.314023234
0.25793034,0.79823816,0.41768935,3.0947816,0,4,-0.70194345,1.418261809,0.922241062,0.997706443
0.25104502,0.9276314,0.41790935,3.6950796,0,4,-0.980215296,4.372922417,0.931049881,2.506272832
0.24357949,0.9443039,0.4448705,3.876779,0,4,-1.281936326,4.753634447,2.010572864,2.962889068
0.28871796,0.85971487,0.40659052,2.9776978,0,4,0.542345423,2.822066474,0.477844399,0.703471432
0.24951315,0.9375997,0.36828968,3.7577167,0,4,-1.042126153,4.600546883,-1.055719364,2.663681688
0.25853118,0.9129162,0.3913369,3.5311646,0,4,-0.677660171,4.036904763,-0.132910299,2.094349809
