EAR,MAR,Circularity,MOE,Y,respondent,EAR_N,MAR_N,Circularity_N,MOE_N
0.094046613,0.24998386,0.252997351,2.658084678,1,4,-13.71081349,-6.632470125,-5.465475439,188.3650258
0.123200819,0.377198268,0.260764196,3.061653896,1,4,-11.31873993,1.364749467,-5.167676223,246.9868877
0.120385769,0.310687975,0.282237189,2.580769942,1,4,-11.54971198,-2.816360443,-4.344350823,177.1344026
0.260233755,0.571277048,0.296205684,2.195245765,1,4,-0.07532434,13.56533778,-3.80876569,121.1337364
0.176729553,0.197189501,0.296561513,1.115769815,1,4,-6.92676075,-9.951340136,-3.795122356,-35.66932801
0.14381509,0.363285304,0.301050748,2.526058313,1,4,-9.627359574,0.490123469,-3.622994439,169.1870731
0.216186784,0.343727507,0.30478993,1.589956151,1,4,-3.68933432,-0.739359881,-3.479625372,33.21027099
0.141839145,0.300295822,0.305135537,2.117157577,1,4,-9.789483867,-3.46965382,-3.466373966,109.7907628
0.125535444,0.327882147,0.309135644,2.611869096,1,4,-11.12718629,-1.735464225,-3.313000407,181.6518193
0.200933352,0.292573807,0.318489778,1.456073887,1,4,-4.940863209,-3.955091342,-2.954340764,13.76273332
0.209677419,0.349563319,0.318773547,1.667148135,1,4,-4.223421209,-0.37249684,-2.943460388,44.42306331
0.15678646,0.351145061,0.321748124,2.239638938,1,4,-8.563071617,-0.273062015,-2.82940808,127.5822224
0.170174252,0.364554151,0.325187788,2.142240362,1,4,-7.464616667,0.569888382,-2.697523211,113.4342507
0.188425505,0.354012904,0.329536155,1.878795041,1,4,-5.967119597,-0.092777669,-2.530796524,75.16657674
0.16371965,0.319136277,0.331353887,1.949285117,1,4,-7.994210333,-2.285265526,-2.461100394,85.40585998
0.237673489,0.250584223,0.331986689,1.054321305,1,4,-1.92637164,-6.594728845,-2.436837244,-44.59524683
0.197300116,0.187096996,0.338167602,0.948286298,1,4,-5.238966622,-10.58579637,-2.199846442,-59.99773354
0.259081624,0.470767057,0.339316563,1.817060779,1,4,-0.169855565,7.246867364,-2.155792528,66.19915005
0.242313013,0.337906609,0.339680355,1.394504589,1,4,-1.545703315,-1.105285435,-2.141843881,4.819269054
0.241809705,0.365854558,0.34097174,1.512985419,1,4,-1.586999237,0.651637294,-2.092329154,22.02961737
0.183195527,0.340754249,0.341515522,1.860057688,1,4,-6.396234027,-0.926271109,-2.071479258,72.44481689
0.241809705,0.332917446,0.34204222,1.376774543,1,4,-1.586999237,-1.418924663,-2.051284393,2.243829043
0.250014143,0.320328005,0.344060449,1.281239536,1,4,-0.913833281,-2.210348598,-1.97390072,-11.6334434
0.127332757,0.256591465,0.34422218,2.015125333,1,4,-10.97971856,-6.217088995,-1.967699583,94.9697115
0.249865252,0.211390258,0.344659212,0.846017029,1,4,-0.92604964,-9.058622266,-1.950942755,-74.85321491
0.242313013,0.354792564,0.347033785,1.464191127,1,4,-1.545703315,-0.043765035,-1.859896008,14.94183145
0.249929168,0.148650334,0.347384866,0.594769848,1,4,-0.920805373,-13.00271131,-1.846434726,-111.3490051
0.226834717,0.338629173,0.348140588,1.49284544,1,4,-2.815682047,-1.059862081,-1.81745856,19.10411412
0.232877296,0.2257829,0.348469998,0.969535904,1,4,-2.319894453,-8.15384175,-1.804828182,-56.91104753
0.227272727,0.316875111,0.349054999,1.394250489,1,4,-2.779743757,-2.427411663,-1.782397859,4.782358817
0.250875758,0.370284325,0.349149066,1.475966943,1,4,-0.843138657,0.930110649,-1.778791123,16.65236886
0.230466384,0.247321662,0.353173496,1.073135516,1,4,-2.51770742,-6.799826824,-1.624484945,-41.86232256
0.179866939,0.366473208,0.353588323,2.037468414,1,4,-6.669341329,0.690528174,-1.60857949,98.21523405
0.207972583,0.327785767,0.354301536,1.576100863,1,4,-4.363301354,-1.741523072,-1.581233235,31.19767254
0.250002531,0.245391884,0.35509197,0.9815576,1,4,-0.914786085,-6.921140581,-1.550926121,-55.1647939
0.251184464,0.304096185,0.356747708,1.210648863,1,4,-0.817809664,-3.230747379,-1.487441198,-21.88733923
0.272445966,0.183111681,0.356824979,0.672102745,1,4,0.926675352,-10.83632962,-1.484478445,-100.115744
0.255414734,0.226010066,0.356943973,0.884874818,1,4,-0.470720187,-8.139561147,-1.479915915,-69.20879044
0.235701908,0.360493384,0.356970627,1.529446189,1,4,-2.088137921,0.314611934,-1.478893967,24.42068429
0.267679303,0.265975435,0.357712639,0.993634667,1,4,0.535575491,-5.627174088,-1.450443463,-53.41049727
0.242577419,0.314058613,0.357916423,1.294673733,1,4,-1.524009044,-2.604468281,-1.442629875,-9.682012031
0.249878019,0.303269644,0.358297618,1.213670756,1,4,-0.925002132,-3.282707134,-1.428013984,-21.44838359
0.250850322,0.32191139,0.358548109,1.283280754,1,4,-0.845225668,-2.110810514,-1.418409569,-11.33693916
0.25,0.3159653,0.358823303,1.2638612,1,4,-0.914993714,-2.484606125,-1.407857985,-14.15779459
0.25,0.301058057,0.358823303,1.20423223,1,4,-0.914993714,-3.421736549,-1.407857985,-22.81940977
0.250850322,0.328136509,0.35978342,1.308096825,1,4,-0.845225668,-1.719473968,-1.371044807,-7.732193724
0.224004793,0.358731422,0.360760713,1.601445297,1,4,-3.047874505,0.203847757,-1.333573089,34.87916714
0.244120041,0.249935459,0.362602271,1.023821959,1,4,-1.397438451,-6.63551282,-1.262963402,-49.02553631
0.233358605,0.305477527,0.364330489,1.309047624,1,4,-2.280403582,-3.143910556,-1.196699409,-7.594082144
0.257575758,0.307992061,0.364608833,1.195733883,1,4,-0.293410367,-2.985836653,-1.186027036,-24.05386692
0.236107572,0.313230279,0.364674975,1.326642241,1,4,-2.054853549,-2.656540778,-1.183491017,-5.038314271
0.250214313,0.217378463,0.364723536,0.868769099,1,4,-0.897409531,-8.682179122,-1.181629077,-71.54828318
0.233333333,0.2766286,0.365307716,1.185551141,1,4,-2.282477079,-4.957472485,-1.159230213,-25.53299676
0.255032933,0.116247639,0.365574486,0.455814225,1,4,-0.502046561,-15.03967764,-1.149001652,-131.5334915
0.27260214,0.352348209,0.365603412,1.292536478,1,4,0.939489294,-0.197427174,-1.147892542,-9.992466598
0.233553106,0.356708247,0.366424986,1.527311083,1,4,-2.264444977,0.076662653,-1.116391445,24.11054195
0.249878019,0.319003486,0.366498535,1.276636846,1,4,-0.925002132,-2.293613278,-1.11357142,-12.30202329
0.27422981,0.258654784,0.366599815,0.943204475,1,4,1.07303803,-6.087380259,-1.109688112,-60.73591157
0.232315556,0.233870011,0.366665162,1.006691133,1,4,-2.365984664,-7.6454528,-1.107182515,-51.51393442
0.219600543,0.263736264,0.366750767,1.20098184,1,4,-3.409238854,-5.76793761,-1.103900222,-23.29155648
0.274626755,0.373514139,0.366795128,1.360079206,1,4,1.105606986,1.133150017,-1.102199321,-0.181310699
0.211012299,0.366587311,0.36694587,1.737279357,1,4,-4.113895676,0.697701161,-1.096419512,54.61021995
0.266568898,0.240670963,0.366992043,0.902847126,1,4,0.444467805,-7.217917023,-1.094649126,-66.5981598
0.257457576,0.337028722,0.367534033,1.309065077,1,4,-0.303107011,-1.160472997,-1.073867956,-7.591546925
0.234260643,0.337516704,0.36753848,1.44077426,1,4,-2.20639226,-1.129796428,-1.07369746,11.54033237
0.249513145,0.188942547,0.368289674,0.757244862,1,4,-0.954939712,-10.46977749,-1.044894907,-87.74812721
0.242921813,0.38075087,0.368374186,1.567380323,1,4,-1.495751879,1.588080584,-1.041654512,29.93093994
0.257457576,0.348811096,0.368379415,1.354829407,1,4,-0.303107011,-0.419784657,-1.041454005,-0.943888641
0.257457576,0.298349139,0.368379415,1.158828351,1,4,-0.303107011,-3.592030283,-1.041454005,-29.41470932
0.22946736,0.219077019,0.368929962,0.954719744,1,4,-2.599676333,-8.57540094,-1.020344726,-59.06322086
0.218324002,0.34799228,0.369158275,1.593925896,1,4,-3.513977771,-0.471258792,-1.011590697,33.78691017
0.235232946,0.342608945,0.369325252,1.45646667,1,4,-2.126615796,-0.809677312,-1.005188377,13.81978829
